waveform;Bridge;Resistance_0;Resistance_1
t0;29/11/2021  17:31:09,391641;29/11/2021  17:31:09,901058;29/11/2021  17:31:09,901058
delta t;0,000500;0,005000;0,005000

time;Bridge;Resistance_0;Resistance_1
29/11/2021  17:31:09,848141;9,398532E-4;;
29/11/2021  17:31:09,848641;9,394389E-4;;
29/11/2021  17:31:09,849141;9,392332E-4;;
29/11/2021  17:31:09,849641;9,391558E-4;;
29/11/2021  17:31:09,850141;9,391915E-4;;
29/11/2021  17:31:09,850641;9,394091E-4;;
29/11/2021  17:31:09,851141;9,394389E-4;;
29/11/2021  17:31:09,851641;9,390276E-4;;
29/11/2021  17:31:09,852141;9,396326E-4;;
29/11/2021  17:31:09,852641;9,390455E-4;;
29/11/2021  17:31:09,853141;9,395641E-4;;
29/11/2021  17:31:09,853641;9,390783E-4;;
29/11/2021  17:31:09,854141;9,395760E-4;;
29/11/2021  17:31:09,854641;9,394866E-4;;
29/11/2021  17:31:09,855141;9,387355E-4;;
29/11/2021  17:31:09,855641;9,395581E-4;;
29/11/2021  17:31:09,856141;9,396833E-4;;
29/11/2021  17:31:09,856641;9,397250E-4;;
29/11/2021  17:31:09,857141;9,387653E-4;;
29/11/2021  17:31:09,857641;9,388995E-4;;
29/11/2021  17:31:09,858141;9,398412E-4;;
29/11/2021  17:31:09,858641;9,383034E-4;;
29/11/2021  17:31:09,859141;9,399038E-4;;
29/11/2021  17:31:09,859641;9,386193E-4;;
29/11/2021  17:31:09,860141;9,379815E-4;;
29/11/2021  17:31:09,860641;9,386610E-4;;
29/11/2021  17:31:09,861141;9,398949E-4;;
29/11/2021  17:31:09,861641;9,390842E-4;;
29/11/2021  17:31:09,862141;9,393495E-4;;
29/11/2021  17:31:09,862641;9,387564E-4;;
29/11/2021  17:31:09,863141;9,380113E-4;;
29/11/2021  17:31:09,863641;9,395402E-4;;
29/11/2021  17:31:09,864141;9,389740E-4;;
29/11/2021  17:31:09,864641;9,392064E-4;;
29/11/2021  17:31:09,865141;9,392958E-4;;
29/11/2021  17:31:09,865641;9,388905E-4;;
29/11/2021  17:31:09,866141;9,398502E-4;;
29/11/2021  17:31:09,866641;9,396505E-4;;
29/11/2021  17:31:09,867141;9,403866E-4;;
29/11/2021  17:31:09,867641;9,394955E-4;;
29/11/2021  17:31:09,868141;9,395909E-4;;
29/11/2021  17:31:09,868641;9,397369E-4;;
29/11/2021  17:31:09,869141;9,397876E-4;;
29/11/2021  17:31:09,869641;9,395790E-4;;
29/11/2021  17:31:09,870141;9,393942E-4;;
29/11/2021  17:31:09,870641;9,392124E-4;;
29/11/2021  17:31:09,871141;9,396177E-4;;
29/11/2021  17:31:09,871641;9,395253E-4;;
29/11/2021  17:31:09,872141;9,391409E-4;;
29/11/2021  17:31:09,872641;9,397459E-4;;
29/11/2021  17:31:09,873141;9,382527E-4;;
29/11/2021  17:31:09,873641;9,386402E-4;;
29/11/2021  17:31:09,874141;9,393435E-4;;
29/11/2021  17:31:09,874641;9,390634E-4;;
29/11/2021  17:31:09,875141;9,385657E-4;;
29/11/2021  17:31:09,875641;9,391319E-4;;
29/11/2021  17:31:09,876141;9,390634E-4;;
29/11/2021  17:31:09,876641;9,386789E-4;;
29/11/2021  17:31:09,877141;9,395849E-4;;
