waveform	Bridge	T_amb	T_cell
t0	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063
delta t	0,000500	0,000500	0,000500

time	Bridge	T_amb	T_cell
29/11/2021  14:02:54,455063	9,393972E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,455563	9,397339E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,456063	9,405356E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,456563	9,396892E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,457063	9,400648E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,457563	9,394568E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,458063	9,388667E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,458563	9,394925E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,459063	9,406340E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,459563	9,393525E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,460063	9,397310E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,460563	9,394299E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,461063	9,387385E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,461563	9,394121E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,462063	9,398949E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,462563	9,389471E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,463063	9,391260E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,463563	9,398949E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,464063	9,394627E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,464563	9,390336E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,465063	9,393614E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,465563	9,401482E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,466063	9,394657E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,466563	9,388577E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,467063	9,390693E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,467563	9,393376E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,468063	9,393584E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,468563	9,391856E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,469063	9,397906E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,469563	9,396266E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,470063	9,403687E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,470563	9,395104E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,471063	9,405625E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,471563	9,401333E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,472063	9,394925E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,472563	9,398859E-4	1,072884E-4	1,144409E-4
